NONE,BrkFace,Gd,TA,No,Rec,Unf,NONE,Attchd,Unf,TA,TA,NONE,NONE,NONE,GasA,Pave,Inside,WD,TA,AllPub,Gable,Norm,TA,Normal,IR1,Gtl,TA,Y,CompShg,N,MetalSd,2Story,Duplex,TA,Crawfor,RH,MetalSd,CBlock,HLS,Norm,Typ,FuseF,90.0,82.0,7136.0,6.0,6.0,423.0,484.0,0.0,495.0,979.0,979.0,979.0,0.0,1958.0,0.0,0.0,2.0,0.0,4.0,2.0,8.0,0.0,2.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,61.0,57.0,61.0
NONE,NONE,Gd,TA,No,GLQ,Unf,Gd,Attchd,RFn,TA,TA,NONE,NONE,NONE,GasA,Pave,Inside,WD,Gd,AllPub,Gable,Norm,Ex,Normal,Reg,Gtl,TA,Y,CompShg,Y,VinylSd,2Story,1Fam,Gd,CollgCr,RL,VinylSd,PConc,Lvl,Norm,Typ,SBrkr,60.0,75.0,9473.0,8.0,5.0,0.0,804.0,0.0,324.0,1128.0,1128.0,903.0,0.0,2031.0,1.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,2.0,577.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,3.0,2008.0,6.0,6.0,6.0
NONE,BrkFace,Gd,TA,No,GLQ,Unf,Fa,Attchd,RFn,TA,TA,NONE,NONE,NONE,GasA,Pave,Inside,WD,TA,AllPub,Gable,Norm,Ex,Normal,Reg,Gtl,TA,Y,CompShg,Y,HdBoard,1Story,1Fam,Gd,SawyerW,RL,HdBoard,PConc,Lvl,Norm,Typ,SBrkr,20.0,65.0,8125.0,6.0,5.0,258.0,1138.0,0.0,270.0,1408.0,1679.0,0.0,0.0,1679.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2.0,575.0,224.0,42.0,0.0,0.0,0.0,0.0,0.0,10.0,2008.0,14.0,10.0,14.0
NONE,BrkFace,Gd,TA,Av,GLQ,LwQ,NONE,Attchd,Fin,TA,TA,NONE,NONE,NONE,GasA,Pave,Inside,WD,TA,AllPub,Gable,Norm,Ex,Normal,Reg,Gtl,TA,Y,CompShg,Y,MetalSd,SFoyer,TwnhsE,TA,NAmes,RH,MetalSd,PConc,Lvl,Norm,Typ,SBrkr,120.0,34.0,4058.0,7.0,5.0,182.0,584.0,139.0,0.0,723.0,767.0,0.0,0.0,767.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,367.0,120.0,40.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,9.0,9.0,9.0
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Detchd,Unf,TA,TA,NONE,NONE,NONE,GasA,Pave,CulDSac,WD,TA,AllPub,Gable,Norm,Ex,Normal,IR1,Gtl,Gd,N,CompShg,N,Wd Sdng,1Story,1Fam,TA,Edwards,RL,Wd Sdng,Slab,Lvl,Norm,Typ,SBrkr,20.0,69.0,11500.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,845.0,0.0,0.0,845.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,290.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009.0,52.0,52.0,52.0
NONE,NONE,TA,TA,No,Rec,Unf,Gd,Attchd,Unf,TA,TA,NONE,NONE,NONE,GasA,Pave,Corner,WD,TA,AllPub,Gable,Norm,Ex,Normal,IR1,Gtl,TA,Y,CompShg,Y,VinylSd,1Story,1Fam,TA,NAmes,RL,VinylSd,CBlock,Lvl,Feedr,Typ,FuseA,20.0,90.0,11988.0,6.0,6.0,0.0,777.0,0.0,467.0,1244.0,1244.0,0.0,0.0,1244.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,2.0,1.0,336.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,50.0,50.0,50.0
NONE,Stone,Gd,TA,No,Unf,Unf,Gd,Attchd,RFn,TA,TA,NONE,NONE,NONE,GasA,Pave,Inside,WD,Gd,AllPub,Gable,Norm,Ex,Normal,IR1,Gtl,TA,Y,CompShg,Y,VinylSd,1Story,1Fam,Gd,NridgHt,RL,VinylSd,PConc,Lvl,Norm,Typ,SBrkr,20.0,98.0,11428.0,8.0,5.0,248.0,0.0,0.0,1626.0,1626.0,1634.0,0.0,0.0,1634.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,3.0,866.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,1.0,1.0,1.0
NONE,BrkFace,Ex,Gd,No,Unf,Unf,Gd,BuiltIn,Fin,TA,TA,NONE,NONE,NONE,GasA,Pave,Inside,New,Ex,AllPub,Hip,Norm,Ex,Partial,IR1,Gtl,TA,Y,CompShg,Y,VinylSd,2Story,1Fam,Ex,StoneBr,RL,VinylSd,PConc,Lvl,Norm,Typ,SBrkr,60.0,82.0,12438.0,8.0,5.0,466.0,0.0,0.0,1234.0,1234.0,1264.0,1312.0,0.0,2576.0,0.0,0.0,2.0,1.0,4.0,1.0,10.0,1.0,3.0,666.0,324.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,0.0,0.0,0.0
NONE,BrkFace,Gd,TA,Gd,GLQ,Unf,TA,Attchd,Fin,TA,TA,NONE,NONE,NONE,GasA,Pave,Inside,WD,Gd,AllPub,Hip,Norm,Ex,Normal,Reg,Gtl,TA,Y,CompShg,Y,VinylSd,1Story,1Fam,Gd,CollgCr,RL,VinylSd,PConc,Lvl,Norm,Typ,SBrkr,20.0,73.0,11883.0,7.0,5.0,196.0,690.0,0.0,814.0,1504.0,1504.0,0.0,0.0,1504.0,1.0,0.0,2.0,0.0,3.0,1.0,6.0,1.0,2.0,478.0,115.0,66.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,13.0,13.0,13.0
NONE,NONE,Gd,TA,No,Unf,Unf,NONE,Attchd,RFn,TA,TA,NONE,NONE,NONE,GasA,Pave,Inside,New,Gd,AllPub,Gable,Norm,Ex,Partial,Reg,Gtl,TA,Y,CompShg,Y,VinylSd,2Story,1Fam,Gd,Somerst,FV,VinylSd,PConc,Lvl,Norm,Typ,SBrkr,60.0,65.0,8125.0,7.0,5.0,0.0,0.0,0.0,756.0,756.0,756.0,797.0,0.0,1553.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,0.0,2.0,615.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,3.0,2006.0,1.0,0.0,1.0
